Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-04-02,245.19,252.68,244.59,251.83,176669824.0,0.0,1.0,245.19,252.68,244.59,251.83,176669824.0
2020-04-01,247.98,257.6591,243.9,246.15,188373330.0,0.0,1.0,247.98,257.6591,243.9,246.15,188373330.0
2020-03-31,260.56,263.33,256.22,257.75,193290928.0,0.0,1.0,260.56,263.33,256.22,257.75,193290928.0
2020-03-30,255.7,262.43,253.53,261.65,171274407.0,0.0,1.0,255.7,262.43,253.53,261.65,171274407.0
2020-03-27,253.27,260.81,251.05,253.42,223871285.0,0.0,1.0,253.27,260.81,251.05,253.42,223871285.0
2020-03-26,249.52,262.8,249.05,261.2,256107410.0,0.0,1.0,249.52,262.8,249.05,261.2,256107410.0
2020-03-25,244.87,256.35,239.75,246.79,297989659.0,0.0,1.0,244.87,256.35,239.75,246.79,297989659.0
2020-03-24,234.42,244.1,233.8,243.15,233038623.0,0.0,1.0,234.42,244.1,233.8,243.15,233038623.0
2020-03-23,228.19,229.6833,218.26,222.95,323100167.0,0.0,1.0,228.19,229.6833,218.26,222.95,323100167.0
2020-03-20,242.53,244.47,228.5,228.8,344276957.0,1.40556,1.0,242.53,244.47,228.5,228.8,344276957.0
2020-03-19,239.25,247.38,232.22,240.51,288124389.0,0.0,1.0,237.78921760186853,245.86957847586305,230.80214048696305,239.04152445318869,288124389.0
2020-03-18,236.25,248.37,228.02,240.0,324845381.0,0.0,1.0,234.80753462253475,246.8535338590432,226.62778431589578,238.53463834670197,324845381.0
2020-03-17,245.04,256.17,237.07,252.8,260566279.0,0.0,1.0,243.5438657519827,254.60590960531104,235.6225279702193,251.25648572519276,260566279.0
2020-03-16,241.18,256.9,237.36,239.85,295019288.0,0.0,1.0,239.7074336519066,255.33145246361553,235.91075732488827,238.38555419773527,295019288.0
2020-03-13,263.09,271.4754,248.5237,269.32,326142197.0,0.0,1.0,261.48365834430757,269.817859829276,247.00629541701772,267.67561999805736,326142197.0
2020-03-12,256.0,266.66,247.68,248.11,389612072.0,0.0,1.0,254.43694756981543,265.0318610897148,246.16774677379644,246.59512133416763,389612072.0
2020-03-11,280.7,281.94,270.88,274.36,254604444.0,0.0,1.0,278.9861374329968,280.21856639778815,269.22609514731096,272.68484740333815,254604444.0
2020-03-10,284.64,288.52,273.5,288.42,274894230.0,0.0,1.0,282.9020810791885,286.75839106579355,271.83009828259577,286.6590016331491,274894230.0
2020-03-09,275.3,284.19,273.45,274.23,305980554.0,0.0,1.0,273.61910807019603,282.45482863228847,271.78040356627355,272.5556411409004,305980554.0
2020-03-06,293.15,298.78,290.23,297.46,228315219.0,0.0,1.0,291.36012179723195,296.955746855115,288.4579503640138,295.6438063442082,228315219.0
2020-03-05,304.98,308.47,300.01,302.46,185533970.0,0.0,1.0,303.11789167907153,306.5865828783632,298.1782368766419,300.6132779764311,185533970.0
